Date,AAPL.O,MSFT.O,INTC.O,AMZN.O,GS.N,SPY,EUR=,XAU=,GDX,GLD
2013-02-25,15.814269900000001,27.37,20.23,12.993500000000001,147.65,149.0,1.3062,1593.86,38.57,154.34
2013-02-26,16.0346268225,27.37,20.58,12.968000000000002,148.0,150.02,1.3061,1613.11,39.05,156.22
2013-02-27,15.8774841225,27.81,20.93,13.162500000000001,151.65,151.91,1.3138,1597.21,38.26,154.57
2013-02-28,15.764269950000001,27.8,20.88,13.2135,149.76,151.61,1.3056,1579.76,37.4,153.0
2013-03-01,15.373913197500002,27.95,21.03,13.287,150.53,152.11,1.302,1574.86,37.11,152.44
2013-03-04,15.0017707125,28.15,21.27,13.655500000000002,152.18,152.92,1.3025,1573.34,35.91,152.3
2013-03-05,15.397984602000001,28.35,21.51,13.779499999999999,152.96,154.29,1.305,1575.06,35.93,152.38
2013-03-06,15.2021990835,28.09,21.75,13.689500000000002,154.13,154.5,1.2965,1583.31,37.44,153.23
2013-03-07,15.377913193500001,28.14,21.89,13.694,156.62,154.776,1.3104,1578.4,36.91,152.69
2013-03-08,15.418556010000001,28.0,21.58,13.7095,152.98,155.44,1.3004,1577.74,37.11,152.71
2013-03-11,15.638198647500001,27.87,21.69,13.562000000000001,153.3,156.03,1.3043,1580.39,36.96,152.99
2013-03-12,15.3010561275,27.91,21.64,13.7065,151.85,155.68,1.3032,1592.09,37.88,154.19
2013-03-13,15.298198987500003,27.915,21.655,13.755000000000003,151.91,155.905,1.296,1587.29,36.87,153.66
2013-03-14,15.446413125000001,28.135,21.65,13.287,154.02,156.73,1.3004,1589.8,37.25,153.68
2013-03-15,15.844984155000002,28.035,21.375,13.091000000000001,154.84,155.83,1.3074,1591.84,37.338,154.001
2013-03-18,16.275698010000003,28.1,21.26,12.8945,151.95,154.97,1.2954,1604.8,37.48,155.38
2013-03-19,16.231769482500003,28.18,21.14,12.820500000000003,148.84,154.61,1.2881,1612.79,37.58,156.08
2013-03-20,16.14569814,28.315,21.18,12.863900000000001,150.13,155.69,1.2932,1605.89,37.45,155.37
2013-03-21,16.168912402500002,28.11,21.04,12.6695,145.38,154.359,1.2897,1614.09,38.43,156.246
2013-03-22,16.496769217500002,28.25,21.33,12.887500000000001,146.6,155.6,1.2985,1607.95,38.16,155.55
